combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
19,75,2.0,1.25,True,True,10,current,,112290.00072196126,2.6310627460965192,-15134.99977350235,60.724233983286915,156.3927586656842,24.98434564809017,3194,396,718,,,,,,,
55,100,2.25,1.25,True,True,10,current,,115224.99931283295,2.5632160039203424,-13485.000359117985,60.306406685236766,160.4805004357005,23.25909661229611,3188,402,718,,,,,,,
13,75,1.75,1.25,True,True,10,current,,105385.0017119199,2.4964136930221423,-13734.999622255564,60.16713091922006,146.77576840100267,25.56285178236398,3198,392,718,,,,,,,
27,75,2.25,1.75,True,True,10,current,,114300.00007517636,2.4725939786598365,-13310.000033006072,62.116991643454035,159.19220066180551,24.62358845671267,3188,402,718,,,,,,,
28,75,2.25,2.0,True,True,10,current,,114570.00118665397,2.434145588758662,-13625.000187531114,61.14206128133704,159.5682467780696,24.843161856963615,3188,402,718,,,,,,,
26,75,2.25,1.5,True,True,10,current,,111404.99864839017,2.4334852513125953,-13780.000415742397,61.55988857938719,155.1601652484543,24.451066499372647,3188,402,718,,,,,,,
49,100,2.0,1.25,True,True,10,current,,109475.00038795173,2.421160524008304,-16160.00004708767,60.16713091922006,152.4721453871194,24.04508453350031,3194,396,718,,,,,,,
25,75,2.25,1.25,True,True,10,current,,105009.9989105761,2.4207385387834237,-14655.000286996365,60.16713091922006,146.25348037684694,24.41969887076537,3188,402,718,,,,,,,
57,100,2.25,1.75,True,True,10,current,,117475.00010058284,2.4189092667625296,-13844.999929890037,62.95264623955432,163.6142062682212,23.776662484316187,3188,402,718,,,,,,,
86,125,2.25,1.5,True,True,10,current,,118469.99921262264,2.417668746030459,-16140.000431239605,62.116991643454035,164.99999890337415,22.882685069008783,3188,402,718,,,,,,,
79,125,2.0,1.25,True,True,10,current,,112420.00076122582,2.4135612753357947,-16060.000048279762,61.00278551532033,156.57381721619194,23.19974953036944,3194,396,718,,,,,,,
87,125,2.25,1.75,True,True,10,current,,121025.00032618642,2.3979543644268504,-14844.999283254147,62.53481894150418,168.55849627602566,23.117942283563362,3188,402,718,,,,,,,
