combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,movement_entry_pct,max_vix_entry,vix_early_exit_threshold,price_based_stop_points,stop_slippage_per_leg,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
3,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,189922.00025749207,2.0754429103993663,-21284.00101670623,71.91709844559585,196.8103629611317,12.046394120349104,4354,2401,965,,,,,,,
0,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,107515.00061415136,2.0477654401141794,-14572.999631419778,60.62176165803109,111.414508408447,19.59118052365641,4354,2401,965,,,,,,,
6,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,186882.9998795241,2.038162802618184,-21284.00101670623,72.12435233160622,193.6611397715276,11.87413872301332,4354,2401,965,,,,,,,
9,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,183479.99961331487,2.001881339564362,-19550.00098094344,72.02072538860104,190.13471462519675,11.495176848874598,4354,2401,965,,,,,,,
12,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,170472.99958224595,1.8204025683609655,-21030.00112518668,71.81347150259067,176.65595811631704,11.231051906293064,4354,2401,965,,,,,,,
4,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,168942.00025749207,1.8185759494412652,-22304.00101670623,71.29533678756476,175.06943031864463,12.046394120349104,4354,2401,965,,,,,,,
7,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,166202.9998795241,1.785380105596988,-22304.00101670623,71.60621761658031,172.23108795805607,11.87413872301332,4354,2401,965,,,,,,,
10,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,163459.99961331487,1.756450055203582,-20570.00098094344,71.50259067357513,169.38860063555944,11.495176848874598,4354,2401,965,,,,,,,
13,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,150912.99958224595,1.5873068062954034,-22050.00112518668,71.39896373056996,156.38652806450358,11.231051906293064,4354,2401,965,,,,,,,
5,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,147962.00025749207,1.5689755985382698,-23324.00101670623,70.56994818652849,153.32849767615758,12.046394120349104,4354,2401,965,,,,,,,
8,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,145522.9998795241,1.5398016150271387,-23324.00101670623,70.67357512953369,150.80103614458457,11.87413872301332,4354,2401,965,,,,,,,
11,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,143439.99961331487,1.518079604303937,-21590.00098094344,70.46632124352331,148.64248664592213,11.495176848874598,4354,2401,965,,,,,,,
14,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,131352.99958224595,1.3609062202568636,-23070.00112518668,70.46632124352331,136.1170980126901,11.231051906293064,4354,2401,965,,,,,,,
1,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,73395.00061415136,1.35595379375301,-23793.999710693955,59.17098445595855,76.05699545507913,19.59118052365641,4354,2401,965,,,,,,,
2,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,39275.00061415136,0.7038471153581862,-33913.999710693955,57.82383419689119,40.69948250171125,19.59118052365641,4354,2401,965,,,,,,,
