date,vix,credit_pnl,price_pnl,better
2022-05-16,28.79,1300.00,1300.00,credit
2022-05-17,26.78,735.00,1085.00,n=0.3
2022-05-18,27.75,295.00,295.00,credit
2022-05-19,31.82,-165.00,1715.00,n=0.3
2022-05-20,28.83,310.00,310.00,credit
2022-05-23,29.98,745.00,1910.00,n=0.3
2022-05-24,30.47,275.00,275.00,credit
2022-05-25,29.45,1180.00,1665.00,n=0.3
2022-05-26,27.58,1970.00,1970.00,credit
2022-05-27,25.95,517.00,-416.00,credit
2022-05-31,27.76,165.00,1065.00,n=0.3
2022-06-01,26.12,285.00,285.00,credit
2022-06-02,25.47,-655.00,-1770.00,credit
2022-06-03,25.03,325.00,820.00,n=0.3
2022-06-06,24.96,-1445.00,-1025.00,n=0.3
2022-06-07,25.76,205.00,-620.00,credit
2022-06-08,24.37,-550.00,-1515.00,credit
2022-06-09,24.52,-1815.00,-2800.00,credit
2022-06-10,28.62,305.00,305.00,credit
2022-06-13,32.83,310.00,310.00,credit
2022-06-14,33.01,295.00,295.00,credit
2022-06-15,30.41,380.00,1535.00,n=0.3
2022-06-16,32.09,335.00,335.00,credit
2022-06-17,31.82,500.00,1335.00,n=0.3
2022-06-21,30.04,1985.00,1985.00,credit
2022-06-22,30.01,135.00,1925.00,n=0.3
2022-06-23,29.34,-385.00,295.00,n=0.3
2022-06-24,28.30,620.00,580.00,credit
2022-06-27,28.05,95.00,615.00,n=0.3
2022-06-28,26.69,-70.00,-810.00,credit
2022-06-29,28.52,710.00,1485.00,n=0.3
2022-06-30,30.03,-795.00,1310.00,n=0.3
2022-07-01,28.43,206.00,-232.00,credit
2022-07-05,29.03,-925.00,-4258.00,credit
2022-07-06,28.00,940.00,1435.00,n=0.3
2022-07-07,26.20,1805.00,1805.00,credit
2022-07-08,25.33,-715.00,1735.00,n=0.3
2022-07-11,26.39,1150.00,1150.00,credit
2022-07-12,26.68,-1040.00,-1040.00,credit
2022-07-13,27.95,295.00,1855.00,n=0.3
2022-07-14,28.33,-440.00,820.00,n=0.3
2022-07-15,25.03,1710.00,1710.00,credit
2022-07-18,24.89,-480.00,-2950.00,credit
2022-07-19,24.55,-325.00,-2005.00,credit
2022-07-20,24.03,-235.00,785.00,n=0.3
2022-07-21,24.45,290.00,-138.00,credit
