month,trading_days,net_pnl,live_adj_34pct
2022-05,11,-620,-211
2022-06,21,-1310,-445
2022-07,1,0,0
2022-08,10,895,304
2022-09,21,-790,-269
2022-10,21,-210,-71
2022-11,21,-2365,-804
2022-12,21,-1581,-538
2023-01,20,-491,-167
2023-02,19,1695,576
2023-03,23,735,250
2023-04,19,1510,513
2023-05,22,3385,1151
2023-06,21,-10,-3
2023-07,20,605,206
2023-08,23,-1620,-551
2023-09,20,-519,-176
2023-10,22,344,117
2023-11,21,1420,483
2023-12,20,-745,-253
2024-01,21,490,167
2024-02,19,495,168
2024-03,19,380,129
2024-04,22,1049,357
2024-05,21,1020,347
2024-06,18,905,308
2024-07,22,-200,-68
2024-08,21,-435,-148
2024-09,19,-2195,-746
2024-10,23,2152,732
2024-11,19,515,175
2024-12,20,1260,428
2025-01,19,1610,547
2025-02,19,1617,550
2025-03,20,1325,451
2025-04,21,-105,-36
2025-05,20,-1550,-527
2025-06,20,-40,-14
2025-07,21,1860,632
2025-08,21,3880,1319
2025-09,20,-1555,-529
2025-10,23,-3465,-1178
2025-11,18,-425,-144
2025-12,21,4800,1632
2026-01,19,1310,445
2026-02,19,-120,-41
2026-03,21,300,102
2026-04,7,505,172
